City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Clearlake,US,2021-05-23 03:08:46,38.9582,-122.6264,62.78,38,36,7.47
218,Suamico,US,2021-05-23 03:08:47,44.6319,-88.0393,77.77,94,1,8.99
219,Saint-Francois,FR,2021-05-23 03:08:47,46.4154,3.9054,45.84,81,0,6.91
220,Lorengau,PG,2021-05-23 03:08:47,-2.0226,147.2712,84.76,75,96,6.24
221,Sitka,US,2021-05-23 03:08:48,57.0531,-135.33,46.29,87,90,9.22
222,Nata,PA,2021-05-23 03:08:48,8.3333,-80.5167,80.47,87,100,3.36
223,Lebu,CL,2021-05-23 03:08:48,-37.6167,-73.65,50.0,89,11,6.8
224,Iqaluit,CA,2021-05-23 03:08:49,63.7506,-68.5145,15.53,78,75,13.0
225,Rocha,UY,2021-05-23 03:08:39,-34.4833,-54.3333,50.32,83,100,15.05
226,Dimitrovgrad,RU,2021-05-23 03:08:49,54.2139,49.6184,62.13,94,100,8.52
227,Port Blair,IN,2021-05-23 03:08:50,11.6667,92.75,79.95,92,100,17.58
228,Myitkyina,MM,2021-05-23 03:08:50,25.3833,97.4,86.81,65,54,1.19
229,Kodinsk,RU,2021-05-23 03:05:18,58.6881,99.1844,55.96,32,93,6.31
230,Ewa Beach,US,2021-05-23 03:08:51,21.3156,-158.0072,80.55,54,90,0.0
231,Palmer,US,2021-05-23 03:08:51,42.1584,-72.3287,77.61,64,20,6.78
232,Nurota,UZ,2021-05-23 03:08:51,40.5614,65.6886,68.09,30,76,6.29
233,Salisbury,GB,2021-05-23 03:07:36,51.0693,-1.7957,45.48,93,40,6.24
234,Betzdorf,DE,2021-05-23 03:08:52,50.7833,7.8833,48.85,99,59,8.75
235,Padang,ID,2021-05-23 03:08:52,-0.9492,100.3543,86.05,62,31,1.83
236,Spring Valley,US,2021-05-23 03:05:10,36.108,-115.245,65.3,33,40,1.01
237,Saint-Leu,RE,2021-05-23 03:08:53,-21.15,55.2833,67.06,66,20,14.25
238,Gravdal,NO,2021-05-23 03:08:53,68.1214,13.5031,40.8,67,90,13.91
239,Conceicao Do Mato Dentro,BR,2021-05-23 03:08:53,-19.0372,-43.425,65.93,70,100,1.54
240,Maarianhamina,AX,2021-05-23 03:08:54,60.0973,19.9348,40.86,100,25,2.3
241,Doha,QA,2021-05-23 03:08:54,25.2867,51.5333,92.12,70,0,2.3
242,Mineral Wells,US,2021-05-23 03:08:54,32.8085,-98.1128,71.35,94,90,11.5
243,Samarai,PG,2021-05-23 03:08:55,-10.6167,150.6667,80.44,66,100,13.27
244,Mahebourg,MU,2021-05-23 03:08:55,-20.4081,57.7,69.26,73,19,17.18
245,Iskateley,RU,2021-05-23 03:08:55,67.6803,53.1512,53.38,60,45,18.61
246,Mitsamiouli,KM,2021-05-23 03:08:56,-11.3847,43.2844,77.88,67,90,10.33
247,Kampong Thum,KH,2021-05-23 03:08:56,12.7111,104.8887,87.82,60,100,12.1
248,Natal,BR,2021-05-23 03:04:01,-5.795,-35.2094,75.85,83,75,8.46
249,Mayya,RU,2021-05-23 03:08:57,61.7333,130.2811,54.72,24,6,6.82
250,Itarema,BR,2021-05-23 03:08:57,-2.9248,-39.9167,77.04,82,38,10.11
251,Salalah,OM,2021-05-23 03:08:57,17.0151,54.0924,82.49,83,75,2.3
252,Victoria,HK,2021-05-23 03:05:24,22.2855,114.1577,92.25,69,94,1.01
253,Esperance,AU,2021-05-23 03:08:58,-33.8667,121.9,60.64,76,100,12.06
254,Hambantota,LK,2021-05-23 03:08:58,6.1241,81.1185,82.74,74,40,19.69
255,Constitucion,CL,2021-05-23 03:08:59,-35.3333,-72.4167,51.58,75,2,7.14
256,Great Bend,US,2021-05-23 03:08:59,38.3645,-98.7648,72.03,85,90,7.0
257,Talcahuano,CL,2021-05-23 03:04:17,-36.7167,-73.1167,46.08,93,0,4.61
258,Beringovskiy,RU,2021-05-23 03:09:00,63.05,179.3167,31.98,88,100,4.18
259,Chernyshevskiy,RU,2021-05-23 03:09:00,63.0128,112.4714,50.9,32,48,4.61
260,Ancud,CL,2021-05-23 03:09:01,-41.8697,-73.8203,54.23,90,100,13.49
261,Avarua,CK,2021-05-23 03:09:02,-21.2078,-159.775,78.85,69,91,14.97
262,Husavik,IS,2021-05-23 03:09:02,66.0449,-17.3389,36.79,97,100,9.62
263,Majene,ID,2021-05-23 03:09:02,-3.5403,118.9707,84.6,69,98,3.85
264,Udachnyy,RU,2021-05-23 03:09:03,66.4167,112.4,43.3,60,46,10.8
265,San Cristobal,VE,2021-05-23 03:09:03,7.7669,-72.225,67.12,92,100,2.84
266,Road Town,VG,2021-05-23 03:09:03,18.4167,-64.6167,82.49,78,99,20.2
267,Mar Del Plata,AR,2021-05-23 03:09:03,-38.0023,-57.5575,57.09,48,100,7.0
268,Saint-Georges,GD,2021-05-23 03:09:04,12.0564,-61.7485,79.77,83,5,16.93
269,Gamboula,CF,2021-05-23 03:09:04,4.1178,15.1393,67.5,99,73,2.21
270,Catamarca,AR,2021-05-23 03:09:05,-28.4696,-65.7852,50.77,73,5,4.12
271,Cockburn Town,TC,2021-05-23 03:09:05,21.4612,-71.1419,77.74,76,94,19.51
272,Ixtapa,MX,2021-05-23 03:09:05,20.7,-105.2,78.22,78,1,5.75
273,Mount Gambier,AU,2021-05-23 03:09:06,-37.8333,140.7667,66.25,30,46,9.78
274,Beinamar,TD,2021-05-23 03:09:06,8.6698,15.3813,77.02,62,93,3.47
275,Zhenlai,CN,2021-05-23 03:07:20,45.8495,123.2973,62.31,30,100,22.32
276,Coffs Harbour,AU,2021-05-23 03:09:07,-30.3,153.1333,70.12,64,3,14.97
277,Omsukchan,RU,2021-05-23 03:09:07,62.5333,155.8,40.39,62,99,5.21
278,Pimentel,PE,2021-05-23 03:09:08,-6.8367,-79.9342,66.0,85,8,3.0
279,Tuatapere,NZ,2021-05-23 03:09:08,-46.1333,167.6833,49.82,65,0,1.34
280,Dunedin,NZ,2021-05-23 03:09:08,-45.8742,170.5036,58.8,60,1,3.0
281,Kutum,SD,2021-05-23 03:09:09,14.2,24.6667,72.95,16,6,9.44
282,Navirai,BR,2021-05-23 03:09:09,-23.065,-54.1906,64.85,74,91,8.28
283,Santa Cruz,BO,2021-05-23 03:08:14,-17.8,-63.1667,65.66,37,90,8.37
284,General Roca,AR,2021-05-23 03:09:10,-39.0333,-67.5833,51.15,53,2,9.6
285,Kirakira,SB,2021-05-23 03:09:10,-10.4544,161.9205,81.99,83,100,10.31
286,Lira,UG,2021-05-23 03:09:10,2.235,32.9097,63.5,97,61,3.62
287,Okhotsk,RU,2021-05-23 03:09:11,59.3833,143.3,38.1,84,100,2.91
288,Gorontalo,ID,2021-05-23 03:09:11,0.5412,123.0595,84.7,75,92,2.19
289,Engerwitzdorf,AT,2021-05-23 03:09:12,48.3451,14.442,52.88,78,100,2.62
290,Uhlove,UA,2021-05-23 03:09:12,44.8215,33.6045,56.57,78,3,3.24
291,Novoukrainskoye,RU,2021-05-23 03:09:12,45.3783,40.5297,62.92,96,94,2.91
292,Pacific Grove,US,2021-05-23 03:09:13,36.6177,-121.9166,60.57,84,75,3.0
293,Anchorage,US,2021-05-23 03:09:13,61.2181,-149.9003,56.28,57,1,5.99
294,Punto Fijo,VE,2021-05-23 03:09:14,11.6956,-70.1996,79.9,83,53,29.1
295,Caravelas,BR,2021-05-23 03:09:14,-17.7125,-39.2481,72.43,83,100,6.42
